403282	OR6C65	olfactory receptor, family 6, subfamily C, member 65	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
338398	TAS2R60	taste receptor, type 2, member 60	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
440435	GPR179	G protein-coupled receptor 179	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
390174	OR9G1	olfactory receptor, family 9, subfamily G, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
135924	OR9A2	olfactory receptor, family 9, subfamily A, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
130075	OR9A4	olfactory receptor, family 9, subfamily A, member 4	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
4995	OR3A2	olfactory receptor, family 3, subfamily A, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
26531	OR11A1	olfactory receptor, family 11, subfamily A, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
127623	OR2B11	olfactory receptor, family 2, subfamily B, member 11	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
343169	OR6F1	olfactory receptor, family 6, subfamily F, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
284383	OR2Z1	olfactory receptor, family 2, subfamily Z, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
26188	OR1C1	olfactory receptor, family 1, subfamily C, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
285659	OR2V2	olfactory receptor, family 2, subfamily V, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
219960	OR10Q1	olfactory receptor, family 10, subfamily Q, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
150681	OR6B3	olfactory receptor, family 6, subfamily B, member 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
26539	OR10H1	olfactory receptor, family 10, subfamily H, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
391114	OR6K3	olfactory receptor, family 6, subfamily K, member 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
346517	OR6V1	olfactory receptor, family 6, subfamily V, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
26664	OR7C1	olfactory receptor, family 7, subfamily C, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
390275	OR8A1	olfactory receptor, family 8, subfamily A, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
138882	OR1N2	olfactory receptor, family 1, subfamily N, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
81469	OR2G3	olfactory receptor, family 2, subfamily G, member 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
219986	OR4D11	olfactory receptor, family 4, subfamily D, member 11	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
8590	OR6A2	olfactory receptor, family 6, subfamily A, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
4994	OR3A1	olfactory receptor, family 3, subfamily A, member 1	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
390431	OR4K2	olfactory receptor, family 4, subfamily K, member 2	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
441911	OR10J3	olfactory receptor, family 10, subfamily J, member 3	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
219983	OR4D6	olfactory receptor, family 4, subfamily D, member 6	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
79541	OR2A4	olfactory receptor, family 2, subfamily A, member 4	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
26659	OR7A5	olfactory receptor, family 7, subfamily A, member 5	GO_SYSTEM_PROCESS	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SENSORY_PERCEPTION	GO_SIGNALING_RECEPTOR_ACTIVITY	GO_RECEPTOR_ACTIVITY	GO_SIGNAL_TRANSDUCER_ACTIVITY		REACTOME_GPCR_DOWNSTREAM_SIGNALING
